CD_CENTRO,MesAno,EC_ANL_relativo_pred
CENTRO130,2025-08-01,0.10815275
CENTRO130,2025-09-01,0.09241713
CENTRO130,2025-10-01,0.11000948
CENTRO130,2025-11-01,0.11414742
CENTRO130,2025-12-01,0.09299223
CENTRO131,2025-07-01,0.13970922
CENTRO131,2025-08-01,0.12784144
CENTRO131,2025-09-01,0.14119725
CENTRO131,2025-10-01,0.11960535
CENTRO131,2025-11-01,0.12077671
CENTRO131,2025-12-01,0.12863426
CENTRO135,2025-07-01,0.08573882
CENTRO135,2025-08-01,0.103408225
CENTRO135,2025-09-01,0.11364636
CENTRO135,2025-10-01,0.10823752
CENTRO135,2025-11-01,0.109412394
CENTRO135,2025-12-01,0.11261593
CENTRO139,2025-07-01,0.09942875
CENTRO139,2025-08-01,0.08631181
CENTRO139,2025-09-01,0.07359357
CENTRO139,2025-10-01,0.08648305
CENTRO139,2025-11-01,0.103747725
CENTRO139,2025-12-01,0.10366833
CENTRO14,2025-07-01,0.17488627
CENTRO14,2025-08-01,0.13551484
CENTRO14,2025-09-01,0.19439094
CENTRO14,2025-10-01,0.19281086
CENTRO14,2025-11-01,0.1925988
CENTRO14,2025-12-01,0.164304
CENTRO141,2025-07-01,0.057982944
CENTRO141,2025-08-01,0.046135142
CENTRO141,2025-09-01,0.090055645
CENTRO141,2025-10-01,0.10087732
CENTRO141,2025-11-01,0.090154484
CENTRO141,2025-12-01,0.06644841
CENTRO142,2025-07-01,0.1431208
CENTRO142,2025-08-01,0.13875599
CENTRO142,2025-09-01,0.14640398
CENTRO142,2025-10-01,0.14119767
CENTRO142,2025-11-01,0.12697293
CENTRO142,2025-12-01,0.12108907
CENTRO147,2025-07-01,0.11036154
CENTRO147,2025-08-01,0.11779442
CENTRO147,2025-09-01,0.1462119
CENTRO147,2025-10-01,0.1219415
CENTRO147,2025-11-01,0.11256365
CENTRO147,2025-12-01,0.11266049
CENTRO149,2025-07-01,0.08616019
CENTRO149,2025-08-01,0.08589702
CENTRO149,2025-09-01,0.08435749
CENTRO149,2025-10-01,0.08569768
CENTRO149,2025-11-01,0.085656606
CENTRO149,2025-12-01,0.051968027
CENTRO15,2025-07-01,0.1285296
CENTRO15,2025-08-01,0.11142532
CENTRO15,2025-09-01,0.13282003
CENTRO15,2025-10-01,0.119158804
CENTRO15,2025-11-01,0.11214379
CENTRO15,2025-12-01,0.11948939
CENTRO150,2025-07-01,0.19782232
CENTRO150,2025-08-01,0.2010147
CENTRO150,2025-09-01,0.1986215
CENTRO150,2025-10-01,0.19692874
CENTRO150,2025-11-01,0.20156416
CENTRO150,2025-12-01,0.1959845
CENTRO151,2025-07-01,0.080920465
CENTRO151,2025-08-01,0.0776185
CENTRO151,2025-09-01,0.06976181
CENTRO151,2025-10-01,0.0622872
CENTRO151,2025-11-01,0.06055622
CENTRO151,2025-12-01,0.06484623
CENTRO152,2025-07-01,0.0886406
CENTRO152,2025-08-01,0.06644841
CENTRO152,2025-09-01,0.06942596
CENTRO152,2025-10-01,0.07306691
CENTRO152,2025-11-01,0.07611675
CENTRO152,2025-12-01,0.087340616
CENTRO153,2025-07-01,0.1329561
CENTRO153,2025-08-01,0.12439747
CENTRO153,2025-09-01,0.12566772
CENTRO153,2025-10-01,0.13221912
CENTRO153,2025-11-01,0.12566772
CENTRO153,2025-12-01,0.12834398
CENTRO154,2025-07-01,0.06949301
CENTRO154,2025-08-01,0.05293465
CENTRO154,2025-09-01,0.06265419
CENTRO154,2025-10-01,0.06420711
CENTRO154,2025-11-01,0.06154052
CENTRO154,2025-12-01,0.06947348
CENTRO155,2025-07-01,0.15540643
CENTRO155,2025-08-01,0.1444774
CENTRO155,2025-09-01,0.13535456
CENTRO155,2025-10-01,0.1258781
CENTRO155,2025-11-01,0.09679883
CENTRO155,2025-12-01,0.08759918
CENTRO16,2025-07-01,0.08495375
CENTRO16,2025-08-01,0.08104329
CENTRO16,2025-09-01,0.07247627
CENTRO16,2025-10-01,0.04575863
CENTRO16,2025-11-01,0.036280584
CENTRO16,2025-12-01,0.038684417
CENTRO160,2025-07-01,0.15157591
CENTRO160,2025-08-01,0.14039458
CENTRO160,2025-09-01,0.11339172
CENTRO160,2025-10-01,0.108166516
CENTRO160,2025-11-01,0.12697293
CENTRO160,2025-12-01,0.121398516
CENTRO162,2025-07-01,0.13301471
CENTRO162,2025-08-01,0.12801248
CENTRO162,2025-09-01,0.13162392
CENTRO162,2025-10-01,0.14841616
CENTRO162,2025-11-01,0.17650078
CENTRO162,2025-12-01,0.16069238
CENTRO163,2025-07-01,0.11536404
CENTRO163,2025-08-01,0.12086864
CENTRO163,2025-09-01,0.092124164
CENTRO163,2025-10-01,0.07382285
CENTRO163,2025-11-01,0.08307743
CENTRO163,2025-12-01,0.073073976
CENTRO164,2025-07-01,0.11932276
CENTRO164,2025-08-01,0.1036822
CENTRO164,2025-09-01,0.104752295
CENTRO164,2025-10-01,0.12084576
CENTRO164,2025-11-01,0.1129695
CENTRO164,2025-12-01,0.10793729
CENTRO165,2025-07-01,0.14446925
CENTRO165,2025-08-01,0.13176005
CENTRO165,2025-09-01,0.12934
CENTRO165,2025-10-01,0.12138175
CENTRO165,2025-11-01,0.10697654
CENTRO165,2025-12-01,0.107426494
CENTRO166,2025-07-01,0.07045666
CENTRO166,2025-08-01,0.06952511
CENTRO166,2025-09-01,0.06846399
CENTRO166,2025-10-01,0.055394907
CENTRO166,2025-11-01,0.046107788
CENTRO166,2025-12-01,0.05418596
CENTRO167,2025-07-01,0.19410942
CENTRO167,2025-08-01,0.19464616
CENTRO167,2025-09-01,0.1940768
CENTRO167,2025-10-01,0.19129375
CENTRO167,2025-11-01,0.17636175
CENTRO167,2025-12-01,0.14420386
CENTRO171,2025-07-01,0.14669426
CENTRO171,2025-08-01,0.1300959
CENTRO171,2025-09-01,0.12741964
CENTRO171,2025-10-01,0.1431208
CENTRO171,2025-11-01,0.13465469
CENTRO171,2025-12-01,0.13266583
CENTRO172,2025-07-01,0.16281064
CENTRO172,2025-08-01,0.17173605
CENTRO172,2025-09-01,0.16752405
CENTRO172,2025-10-01,0.15001626
CENTRO172,2025-11-01,0.17925368
CENTRO172,2025-12-01,0.19493309
CENTRO174,2025-07-01,0.07816876
CENTRO174,2025-08-01,0.07796412
CENTRO174,2025-09-01,0.07808763
CENTRO174,2025-10-01,0.06896611
CENTRO174,2025-11-01,0.05361624
CENTRO174,2025-12-01,0.064098276
CENTRO177,2025-07-01,0.10423486
CENTRO177,2025-08-01,0.12061724
CENTRO177,2025-09-01,0.1323556
CENTRO177,2025-10-01,0.14726514
CENTRO177,2025-11-01,0.14745706
CENTRO177,2025-12-01,0.15718035
CENTRO178,2025-07-01,0.12564835
CENTRO178,2025-08-01,0.07578424
CENTRO178,2025-09-01,0.0702097
CENTRO178,2025-10-01,0.09258862
CENTRO178,2025-11-01,0.09526589
CENTRO178,2025-12-01,0.0981717
